,,,,,,,,,,,Timings,,,,,,,,,,,,,,,IDDs (mA),,,,,,,,,,
,,,,,,,,,Clock,,# Refresh Cycles,tREFw (ms),tREFI (us),tRFC (ns),tRAC (ns),tCAC (ns),tAA (ns),CL (nCK),CL (ns),tCCDs/tPC (ns),tRCD/tRCL (ns),tRAS (ns),tRP (ns),tRC (ns),tWR (ns),IDD0,IDD1,IDD2P,IDD2N,IDD3P,IDD3N,IDD4R,IDD4W,IDD5(B),IDD6(N),IDD8
Manufacturer,Model,Speed Bin,Datasheet URL,DRAM Standard,Year,Month,Capacity / Chip (Kib),DQ Pins/Chip,I/O Data Rate (MT/s),Bus Clock (MHz),,Refresh Window,Refresh Interval,Refresh Row Cycle Time,RAS to Data,CAS to Data,Coladdr to Data,CAS Latency,CAS Latency,CAS to CAS,RAS to CAS,ACT - PRE,PRE - ACT,ACT - ACT,WR - PRE,Operating Current (1 Bank Active),Operating Current (1 Bank Active-RD-Precharge),Precharge Power-Down Standby Current,Precharge Non-Power-Down Standby Current,Active Power-Down Standby Current,Active Non-Power-Down Standby Current (1 Bank Active),Continuous READ Current,Continuous WRITE Current,Auto Refresh Current,Self Refresh (45C),Deep Power-Down Current
Intel,1103,,http://www.decadecounter.com/vta/pdf/Intel%20Memory%20Design%20Handbook%20[1973-08].pdf,Asynchronous,1970,10,1,1,,Async,32,2,62.5,480,,300,300,,300,,,,,480,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4006P-6,,https://usermanual.wiki/Pdf/1974MostekIntegratedCircuitGuide.1468557856/view,Asynchronous,1971,,1,1,,Async,32,2,62.5,650,,400,400,,400,,,,,400,,,,,,,,,,,,
Mostek,MK4008P-6,,,Asynchronous,1971,,1,1,,Async,32,2,62.5,900,,500,500,,500,,,,,500,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4096,6,https://console5.com/techwiki/images/0/04/MK4096.pdf,Asynchronous,1973,,4,1,,Async,64,2,31.25,375,250,140,,,140,,60,250,115,375,,35,,1.5,,,,25,,25,,
Mostek,MK4096,16,"""",Asynchronous,1973,,4,1,,Async,64,2,31.25,425,300,165,,,165,,80,300,125,425,,30,,1.5,,,,22,,22,,
Mostek,MK4096,11,"""",Asynchronous,1973,,4,1,,Async,64,2,31.25,500,350,200,,,200,,100,350,150,500,,25,,1.5,,,,18,,18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostek,MK4027J/N,2,https://console5.com/techwiki/images/d/df/MK4027.pdf,PM,1976,,4,1,,Async,64,2,31.25,320,150,100,,,100,170,20,120,100,320,,35,,2,,,,25,,25,,
,MK4027J/N,3,,PM,1976,,4,1,,Async,64,2,31.25,375,200,135,,,135,225,25,200,120,375,,35,,2,,,,25,,25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
